"source_database","labnr","bp","std","cal_bp","cal_std","delta_c13","lab_name","site","site_phase","site_type","feature","feature_type","periods","typochronological_units","ecochronological_units","material","species","country","lat","lng","references"
"radon","Ly-3238","5080","35","5815","88","","","LES MOULINS, Saint Paul Trois Chateaux","LES MOULINS, Saint Paul Trois Chateaux","","","","SN II","Nordisches Spätneolithikum","","collagen, bone","bone","France                                                                                              ","44.343000000000004","4.7530000000000001",""
"radon","Ly-1687","8660","60","9621","170","","","POUDRIERE","POUDRIERE","","","","","","","","","France                                                                                              ","43.119999999999997","5.79",""
"radon","Ly-1943","3860","50","4284","135","","","ZAC DES FEUILLY","ZAC DES FEUILLY","","","","","","","charcoal","charcoal","France                                                                                              ","45.689999999999998","4.9400000000000004",""
"radon","UCLA-1722B","5145","70","5893","202","","","Zürich - Grosser Hafner","Zürich - Grosser Hafner","","","","","","","wood","wood","Switzerland                                                                                         ","47.362900000000003","8.5429999999999993",""
"radon","KN-5411","6705","162","7577","296","","","Abensberg-Arnhofen","Abensberg-Arnhofen","","","","","","","charcoal","charcoal","Germany                                                                                             ","48.834699999999998","11.8782",""
"radon","KN-5337","5665","95","6459","190","","","Abensberg-Arnhofen","Abensberg-Arnhofen","","","","","","","charcoal","charcoal","Germany                                                                                             ","48.834699999999998","11.8782",""
"radon","Ly-3142","8040","50","8905","173","","","MONT VENTOUX 4","MONT VENTOUX 4","","","","","","","","","France                                                                                              ","44.18","5.2000000000000002",""
"radon","Ly-3145","6625","40","7514","66","","","MONT VENTOUX 4","MONT VENTOUX 4","","","","","","","","","France                                                                                              ","44.18","5.2000000000000002",""
"radon","GrA-33881","3375","40","3617","108","","","Rixheim - ZAC du Petit Prince","Rixheim - ZAC du Petit Prince","","","","","","","","","France                                                                                              ","47.740000000000002","7.3899999999999997",""
"radon","Ly-1389","5695","40","6476","121","","","TRUMMELMATTEN","TRUMMELMATTEN","","","","","","","collagen, bone","bone","France                                                                                              ","47.909999999999997","7.29",""
"radon","Hd-13065-12838","3580","50","3881","161","","","Siedlung Forschner","Siedlung Forschner","","","","","Frühbronzezeit","","wood","wood, Fraxinus sp.","Germany                                                                                             ","48.081699999999998","9.6166",""
"radon","Hd-13267-12857","6008","120","6862","303","","","Henau Hof I","Henau Hof I","","","","","","","peat","peat","Germany                                                                                             ","48.041699999999999","9.6273",""
"radon","KN-5412","6090","155","6963","364","","","Abensberg-Arnhofen","Abensberg-Arnhofen","","","","","","","charcoal","charcoal","Germany                                                                                             ","48.834699999999998","11.8782",""
"radon","Hd-21766","3879","20","4330","80","","","Ludwigshafen-Seehalde","Ludwigshafen-Seehalde","","","","","","","wood","wood, Quercus sp.","Germany                                                                                             ","47.815600000000003","9.0531000000000006",""
"radon","Hd-16126-17060","3431","25","3674","128","","","Siedlung Forschner","Siedlung Forschner","","","","","Frühbronzezeit","","peat","peat","Germany                                                                                             ","48.081699999999998","9.6166",""
"radon","Ly-11267","3945","35","4402","114","","","TROU DU CRANE PERCE","TROU DU CRANE PERCE","","","","","","","collagen, bone","bone","France                                                                                              ","46.950000000000003","5.9400000000000004",""
"radon","Hd-9666-9490","6035","60","6882","186","","","Siedlung Forschner","Siedlung Forschner","","","","","Frühbronzezeit","","peat","peat","Germany                                                                                             ","48.081699999999998","9.6166",""
"radon","Hd-23811","4341","24","4896","64","","","Schwetzingen","Schwetzingen","","","","","","","wood","wood","Germany                                                                                             ","49.384900000000002","8.5731000000000002",""
"radon","Hd-16134-16688","3453","29","3713","105","","","Siedlung Forschner","Siedlung Forschner","","","","","Frühbronzezeit","","peat","peat","Germany                                                                                             ","48.081699999999998","9.6166",""
"radon","VERA-751","3610","35","3918","116","","","Mušov Neurissen","Mušov Neurissen","","","","","","","wood","wood, Quercus sp.","Czech Republic                                                                                      ","48.909999999999997","16.564",""
"radon","KIA-29545","4310","30","4861","91","","","Königseggsee","Königseggsee","","","","","","","plant remains","plant macrofossils, Cereals","Germany                                                                                             ","47.920200000000001","9.4472000000000005",""
"radon","Hd-16133-16689","3475","36","3752","101","","","Siedlung Forschner","Siedlung Forschner","","","","","Frühbronzezeit","","wood","wood, Alnus sp.","Germany                                                                                             ","48.081699999999998","9.6166",""
"radon","VERA-166","7740","35","8515","75","","","Michelstetten","Michelstetten","","","","Neolithic","Lengyel","","collagen, bone","animal bone, Cervidae","Austria                                                                                             ","48.587200000000003","16.494399999999999",""
"radon","Hd-13277-12843","3560","40","3856","124","","","Siedlung Forschner","Siedlung Forschner","","","","","Frühbronzezeit","","wood","wood, Fraxinus sp.","Germany                                                                                             ","48.081699999999998","9.6166",""
"radon","UtC-13240","5306","42","6085","123","","","Kleinkems","Kleinkems","","","","","","","charcoal","charcoal","Germany                                                                                             ","47.658799999999999","7.5468999999999999",""
"radon","VERA-755","3070","40","3283","98","","","Mušov Neurissen","Mušov Neurissen","","","","","","","wood","wood, Quercus sp.","Czech Republic                                                                                      ","48.909999999999997","16.564",""
"radon","Hd-16121-16428","3957","29","4425","113","","","Hornstaad-Strandbad","Hornstaad-Strandbad","","","","","","","wood","wood, Quercus sp.","Germany                                                                                             ","47.691099999999999","8.9991000000000003",""
"radon","Hd-22997","4274","32","4845","64","","","Konstanz-Hafenstraße","Konstanz-Hafenstraße","","","","","","","wood","wood, Quercus sp.","Switzerland                                                                                         ","47.658000000000001","9.1780000000000008",""
"radon","KIA-29546","4370","25","4922","95","","","Königseggsee","Königseggsee","","","","","","","plant remains","plant macrofossils, Cereals","Germany                                                                                             ","47.920200000000001","9.4472000000000005",""
"radon","KIA-34934","4245","32","4833","127","","","Olzreute-Enzisholz","Olzreute-Enzisholz","","","","","Goldberg III","","wood","wood, Fagus sp.","Germany                                                                                             ","48.100000000000001","9.6349999999999998",""
"radon","ETH-22682","4110","55","4641","180","","","Rapperswil - Kempraten","Rapperswil - Kempraten","","","","","Horgen/Schnurkeramik | Horg/Schnurkeramik","","","","Switzerland                                                                                         ","47.224299999999999","8.8186999999999998",""
"radon","Gif-1620","4100","140","4611","384","","","Roaix hypogee des Crottes","Roaix hypogee des Crottes","","","","","Glockenbecher","","","","France                                                                                              ","44.270000000000003","5.0099999999999998",""
"radon","Hd-7926-8013","5460","55","6255","133","","","Riedschachen","Riedschachen","","","","","Schussenried","","wood","wood","Germany                                                                                             ","48.035699999999999","9.6760999999999999",""
"radon","Hd-7922-8007","5510","50","6309","92","","","Riedschachen","Riedschachen","","","","","Schussenried","","miscellaneous","organic sediment","Germany                                                                                             ","48.035699999999999","9.6760999999999999",""
"radon","Ua-23165d","5020","50","5769","125","","","Staad-Hohenegg","Staad-Hohenegg","","","","","Horgen | Pfyn","","plant remains","plant macrofossils, Cereals","Germany                                                                                             ","47.685499999999998","9.2081",""
"radon","Ua-23165a","4465","45","5130","176","","","Staad-Hohenegg","Staad-Hohenegg","","","","","Horgen | Pfyn","","plant remains","plant macrofossils, Cereals","Germany                                                                                             ","47.685499999999998","9.2081",""
"radon","Hd-29171","4213","25","4748","93","","","Sipplingen","Sipplingen","settlement","Settlement","","","Pfyn | Horgen","","wood","wood, Fraxinus sp.","Germany                                                                                             ","47.792499999999997","9.1022999999999996",""
"radon","Ua-17699","5085","75","5817","161","","","Sipplingen","Sipplingen","settlement","Settlement","","","Pfyn | Horgen","","charcoal","charcoal","Germany                                                                                             ","47.792499999999997","9.1022999999999996",""
"radon","Hd-13063-12807","4029","125","4521","337","","","Siedlung Forschner","Siedlung Forschner","","","","","Frühbronzezeit","","peat","peat","Germany                                                                                             ","48.081699999999998","9.6166",""
"radon","Hd-13037-12733","3810","75","4207","211","","","Siedlung Forschner","Siedlung Forschner","","","","","Frühbronzezeit","","wood","wood, Betula sp.","Germany                                                                                             ","48.081699999999998","9.6166",""
"radon","Hd-12589-12107","3830","40","4232","153","","","Siedlung Forschner","Siedlung Forschner","","","","","Frühbronzezeit","","wood","wood, Alnus sp.","Germany                                                                                             ","48.081699999999998","9.6166",""
"radon","MC-263","6400","130","7313","281","","","Saint Mitre:abri 3","Saint Mitre:abri 3","rockshelter/cave","Cave/Rockshelter","","Epicardial | SN II","Cardial | Glockenbecher | Nordisches Spätneolithikum","","","","France                                                                                              ","43.880000000000003","5.6600000000000001",""
"radon","Gif-1293","4640","140","5335","372","","","Saint Maurice de Navacelle grotte des Serpents","Saint Maurice de Navacelle grotte des Serpents","","","","","St Pons","","","","France                                                                                              ","43.890000000000001","3.5099999999999998",""
"radon","MC-2376","6330","90","7256","220","","","Saint Marcel d'Ardeche, Bidon","Saint Marcel d'Ardeche, Bidon","","","","","Cardial","","charcoal","charcoal","France                                                                                              ","44.302999999999997","4.5679999999999996",""
"radon","VERA-394","8910","45","10035","150","","","Vent","Vent","","","","","","","wood","wood, Pinus sp.","Austria                                                                                             ","46.850000000000001","10.91",""
"radon","MC-2409","4300","80","4881","312","","","Voils Le Fort Cazarils","Voils Le Fort Cazarils","","","","","Fontbouisse","","","","France                                                                                              ","43.759999999999998","3.71",""
